! Data File for 'ShippingSlotAllocation.mos'

FR: [("SIN" "RTM" "DC20")  1050   ("SIN" "RTM" "DC40")2100
     ("SIN" "RTM" "RC20")  2000   ("SIN" "RTM" "RC40")3400
     ("SIN" "FXT" "DC20")  1050   ("SIN" "FXT" "DC40")2100
     ("SIN" "FXT" "RC20")  2000   ("SIN" "FXT" "RC40")3400
     ("SIN" "BRV" "DC20")  1050   ("SIN" "BRV" "DC40")2100
     ("SIN" "BRV" "RC20")  2000   ("SIN" "BRV" "RC40")3400
     ("SIN" "LEH" "DC20")  1050   ("SIN" "LEH" "DC40")2100
     ("SIN" "LEH" "RC20")  2000   ("SIN" "LEH" "RC40")3400
     ("HKG" "RTM" "DC20")  1150   ("HKG" "RTM" "DC40")2300
     ("HKG" "RTM" "RC20")  2200   ("HKG" "RTM" "RC40")4000
     ("HKG" "FXT" "DC20")  1150   ("HKG" "FXT" "DC40")2300
     ("HKG" "FXT" "RC20")  2200   ("HKG" "FXT" "RC40")4000
     ("HKG" "BRV" "DC20")  1150   ("HKG" "BRV" "DC40")2300
     ("HKG" "BRV" "RC20")  2200   ("HKG" "BRV" "RC40")4000
     ("HKG" "LEH" "DC20")  1150   ("HKG" "LEH" "DC40")2300
     ("HKG" "LEH" "RC20")  2200   ("HKG" "LEH" "RC40")4000
     ("KEL" "RTM" "DC20")  1150   ("KEL" "RTM" "DC40")2300
     ("KEL" "RTM" "RC20")  2100   ("KEL" "RTM" "RC40")3800
     ("KEL" "FXT" "DC20")  1150   ("KEL" "FXT" "DC40")2300
     ("KEL" "FXT" "RC20")  2100   ("KEL" "FXT" "RC40")3800
     ("KEL" "BRV" "DC20")  1150   ("KEL" "BRV" "DC40")2300
     ("KEL" "BRV" "RC20")  2100   ("KEL" "BRV" "RC40")3800
     ("KEL" "LEH" "DC20")  1150   ("KEL" "LEH" "DC40")2300
     ("KEL" "LEH" "RC20")  2100   ("KEL" "LEH" "RC40")3800
     ("TYO" "RTM" "DC20")  1400   ("TYO" "RTM" "DC40")2800
     ("TYO" "RTM" "RC20")  2200   ("TYO" "RTM" "RC40")4000
     ("TYO" "FXT" "DC20")  1400   ("TYO" "FXT" "DC40")2800
     ("TYO" "FXT" "RC20")  2200   ("TYO" "FXT" "RC40")4000
     ("TYO" "BRV" "DC20")  1400   ("TYO" "BRV" "DC40")2800
     ("TYO" "BRV" "RC20")  2200   ("TYO" "BRV" "RC40")4000
     ("TYO" "LEH" "DC20")  1400   ("TYO" "LEH" "DC40")2800
     ("TYO" "LEH" "RC20")  2200   ("TYO" "LEH" "RC40")4000
     ("NGO" "RTM" "DC20")  1150   ("NGO" "RTM" "DC40")2300
     ("NGO" "RTM" "RC20")  2200   ("NGO" "RTM" "RC40")4000
     ("NGO" "FXT" "DC20")  1150   ("NGO" "FXT" "DC40")2300
     ("NGO" "FXT" "RC20")  2200   ("NGO" "FXT" "RC40")4000
     ("NGO" "BRV" "DC20")  1150   ("NGO" "BRV" "DC40")2300
     ("NGO" "BRV" "RC20")  2200   ("NGO" "BRV" "RC40")4000
     ("NGO" "LEH" "DC20")  1150   ("NGO" "LEH" "DC40")2300
     ("NGO" "LEH" "RC20")  2200   ("NGO" "LEH" "RC40")4000
